"claims","total_cost","payout","cost_if_insured","cost_if_uninsured"
0,0,0,675,0
0,0,0,675,0
1,295.596448619283,45.5964486192834,925,295.596448619283
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
1,478.361380784415,228.361380784415,925,478.361380784415
0,0,0,675,0
1,309.879572964933,59.8795729649332,925,309.879572964933
0,0,0,675,0
0,0,0,675,0
1,246.279644833516,0,921.279644833516,246.279644833516
1,448.407753074707,198.407753074707,925,448.407753074707
2,211.475818877788,0,886.475818877788,211.475818877788
0,0,0,675,0
0,0,0,675,0
1,460.718274288445,210.718274288445,925,460.718274288445
1,243.335532675271,0,918.335532675271,243.335532675271
0,0,0,675,0
1,374.428748402647,124.428748402647,925,374.428748402647
0,0,0,675,0
0,0,0,675,0
1,248.017994111513,0,923.017994111513,248.017994111513
0,0,0,675,0
1,433.972364340844,183.972364340844,925,433.972364340844
0,0,0,675,0
0,0,0,675,0
1,1063.27316829353,813.273168293527,925,1063.27316829353
0,0,0,675,0
1,170.192939724472,0,845.192939724472,170.192939724472
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
1,184.380437041682,0,859.380437041682,184.380437041682
0,0,0,675,0
1,133.831682949281,0,808.831682949281,133.831682949281
1,175.29225159248,0,850.29225159248,175.29225159248
2,1219.85583978025,969.855839780248,925,1219.85583978025
2,998.748014244872,748.748014244872,925,998.748014244872
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
1,218.242922318544,0,893.242922318544,218.242922318544
0,0,0,675,0
3,661.387864010576,411.387864010576,925,661.387864010576
1,673.338498005624,423.338498005624,925,673.338498005624
3,1236.32031438412,986.320314384123,925,1236.32031438412
0,0,0,675,0
0,0,0,675,0
1,1467.97967387646,1217.97967387646,925,1467.97967387646
0,0,0,675,0
0,0,0,675,0
1,228.890252174794,0,903.890252174794,228.890252174794
1,478.178230134361,228.178230134361,925,478.178230134361
1,656.225385976478,406.225385976478,925,656.225385976478
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
2,529.722852032388,279.722852032388,925,529.722852032388
1,497.792721659714,247.792721659714,925,497.792721659714
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
1,119.376445788688,0,794.376445788688,119.376445788688
0,0,0,675,0
1,492.639460657883,242.639460657883,925,492.639460657883
1,937.53199807156,687.53199807156,925,937.53199807156
2,585.13004558594,335.13004558594,925,585.13004558594
2,1531.47864753234,1281.47864753234,925,1531.47864753234
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
1,550.389671040034,300.389671040034,925,550.389671040034
0,0,0,675,0
0,0,0,675,0
2,1386.294148126,1136.294148126,925,1386.294148126
1,1011.90935882448,761.909358824484,925,1011.90935882448
3,3071.91475831525,2821.91475831525,925,3071.91475831525
0,0,0,675,0
1,270.215062263556,20.2150622635564,925,270.215062263556
3,1392.25275048177,1142.25275048177,925,1392.25275048177
1,570.45679627736,320.45679627736,925,570.45679627736
1,187.604299078122,0,862.604299078122,187.604299078122
2,770.640773090074,520.640773090074,925,770.640773090074
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
1,596.329190516175,346.329190516175,925,596.329190516175
2,717.487656495175,467.487656495175,925,717.487656495175
2,288.234492467627,38.2344924676269,925,288.234492467627
1,610.902292113725,360.902292113725,925,610.902292113725
0,0,0,675,0
0,0,0,675,0
3,1260.22760926619,1010.22760926619,925,1260.22760926619
1,692.102721737242,442.102721737242,925,692.102721737242
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
3,940.267905726685,690.267905726685,925,940.267905726685
1,142.092971086145,0,817.092971086145,142.092971086145
0,0,0,675,0
0,0,0,675,0
1,1318.701545247,1068.701545247,925,1318.701545247
2,1690.91377756947,1440.91377756947,925,1690.91377756947
1,163.622195864166,0,838.622195864166,163.622195864166
1,211.485255094877,0,886.485255094877,211.485255094877
2,973.696776556986,723.696776556986,925,973.696776556986
0,0,0,675,0
1,366.179351559309,116.179351559309,925,366.179351559309
1,209.270852287961,0,884.270852287961,209.270852287961
0,0,0,675,0
0,0,0,675,0
1,639.657539742658,389.657539742658,925,639.657539742658
0,0,0,675,0
0,0,0,675,0
1,208.972889429147,0,883.972889429147,208.972889429147
1,481.68237863947,231.68237863947,925,481.68237863947
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
1,164.732085768472,0,839.732085768472,164.732085768472
2,1370.1955947245,1120.1955947245,925,1370.1955947245
0,0,0,675,0
0,0,0,675,0
1,120.917333244897,0,795.917333244897,120.917333244897
0,0,0,675,0
1,573.006495010657,323.006495010657,925,573.006495010657
0,0,0,675,0
0,0,0,675,0
1,1390.55824110102,1140.55824110102,925,1390.55824110102
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
2,1406.19116364068,1156.19116364068,925,1406.19116364068
1,193.14248927947,0,868.14248927947,193.14248927947
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
1,211.450269644594,0,886.450269644595,211.450269644594
1,744.430864013122,494.430864013122,925,744.430864013122
1,789.947482651814,539.947482651814,925,789.947482651814
1,219.57667850636,0,894.57667850636,219.57667850636
1,260.486768899601,10.4867688996014,925,260.486768899601
3,2421.25836261497,2171.25836261497,925,2421.25836261497
2,482.360093221443,232.360093221443,925,482.360093221443
0,0,0,675,0
1,226.042537144453,0,901.042537144453,226.042537144453
2,1044.27051176354,794.270511763541,925,1044.27051176354
0,0,0,675,0
1,1461.06797551727,1211.06797551727,925,1461.06797551727
1,366.677606538077,116.677606538077,925,366.677606538077
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
2,727.652935543057,477.652935543057,925,727.652935543057
1,1001.29058131563,751.290581315634,925,1001.29058131563
1,802.71774155434,552.71774155434,925,802.71774155434
2,338.303668647812,88.303668647812,925,338.303668647812
0,0,0,675,0
0,0,0,675,0
2,486.577892423972,236.577892423972,925,486.577892423972
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
1,154.6578224208,0,829.6578224208,154.6578224208
1,228.320392235112,0,903.320392235112,228.320392235112
0,0,0,675,0
2,272.914469166737,22.9144691667374,925,272.914469166737
0,0,0,675,0
1,226.140794077964,0,901.140794077964,226.140794077964
1,641.005469174816,391.005469174816,925,641.005469174816
1,352.096483565182,102.096483565182,925,352.096483565182
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
2,900.694022706018,650.694022706018,925,900.694022706018
0,0,0,675,0
0,0,0,675,0
2,300.845948817554,50.8459488175535,925,300.845948817554
1,659.328948763588,409.328948763588,925,659.328948763588
0,0,0,675,0
1,48.7841181138196,0,723.78411811382,48.7841181138196
1,545.310354889009,295.310354889009,925,545.310354889009
1,611.992151906587,361.992151906587,925,611.992151906587
0,0,0,675,0
1,645.331653622307,395.331653622307,925,645.331653622307
1,275.41199276883,25.4119927688297,925,275.41199276883
1,370.868670195307,120.868670195307,925,370.868670195307
0,0,0,675,0
1,321.671001454095,71.6710014540948,925,321.671001454095
0,0,0,675,0
2,1211.23196243018,961.231962430177,925,1211.23196243018
0,0,0,675,0
1,924.070307038971,674.070307038971,925,924.070307038971
0,0,0,675,0
0,0,0,675,0
1,796.943795091472,546.943795091472,925,796.943795091472
0,0,0,675,0
1,146.365941136741,0,821.365941136741,146.365941136741
1,128.782951528343,0,803.782951528343,128.782951528343
1,300.05291969448,50.0529196944798,925,300.05291969448
0,0,0,675,0
2,1382.90583336022,1132.90583336022,925,1382.90583336022
2,1002.08821822425,752.088218224249,925,1002.08821822425
1,898.378778798162,648.378778798162,925,898.378778798162
0,0,0,675,0
1,115.755817005744,0,790.755817005744,115.755817005744
0,0,0,675,0
0,0,0,675,0
1,397.327936210085,147.327936210085,925,397.327936210085
1,443.117947791741,193.117947791741,925,443.117947791741
0,0,0,675,0
0,0,0,675,0
1,452.947237528953,202.947237528953,925,452.947237528953
3,721.031684243244,471.031684243244,925,721.031684243244
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
1,470.01387046869,220.01387046869,925,470.01387046869
1,460.200400777484,210.200400777484,925,460.200400777484
1,209.814656639771,0,884.814656639771,209.814656639771
1,604.802933218515,354.802933218515,925,604.802933218515
0,0,0,675,0
1,275.578626262439,25.5786262624393,925,275.578626262439
1,480.821458916562,230.821458916562,925,480.821458916562
0,0,0,675,0
0,0,0,675,0
1,450.760522201447,200.760522201447,925,450.760522201447
1,767.423873613484,517.423873613484,925,767.423873613484
2,593.738699652773,343.738699652773,925,593.738699652773
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
1,228.574414984465,0,903.574414984465,228.574414984465
1,906.869532537983,656.869532537983,925,906.869532537983
1,559.798463816851,309.798463816851,925,559.798463816851
1,196.752771417299,0,871.752771417299,196.752771417299
0,0,0,675,0
0,0,0,675,0
1,919.416741997983,669.416741997983,925,919.416741997983
0,0,0,675,0
0,0,0,675,0
1,344.358902459663,94.358902459663,925,344.358902459663
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
1,185.445607070804,0,860.445607070804,185.445607070804
0,0,0,675,0
0,0,0,675,0
1,162.145523343107,0,837.145523343107,162.145523343107
0,0,0,675,0
2,2558.55426301479,2308.55426301479,925,2558.55426301479
3,1256.93300406011,1006.93300406011,925,1256.93300406011
1,434.311956457832,184.311956457832,925,434.311956457832
0,0,0,675,0
2,1277.12063437411,1027.12063437411,925,1277.12063437411
1,815.511775008605,565.511775008605,925,815.511775008605
0,0,0,675,0
1,186.722602934851,0,861.722602934851,186.722602934851
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
1,1002.56936425794,752.569364257938,925,1002.56936425794
0,0,0,675,0
1,574.834239741786,324.834239741786,925,574.834239741786
0,0,0,675,0
2,1006.502092455,756.502092455003,925,1006.502092455
2,455.446162034162,205.446162034162,925,455.446162034162
0,0,0,675,0
1,352.72501832105,102.72501832105,925,352.72501832105
1,297.810379377603,47.8103793776026,925,297.810379377603
2,1932.95469074546,1682.95469074546,925,1932.95469074546
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
1,1138.79284253038,888.792842530376,925,1138.79284253038
1,870.510489672765,620.510489672765,925,870.510489672765
1,223.417545628575,0,898.417545628575,223.417545628575
0,0,0,675,0
1,270.532090893819,20.5320908938188,925,270.532090893819
2,589.416262970742,339.416262970742,925,589.416262970742
1,461.085914500057,211.085914500057,925,461.085914500057
1,662.849058433769,412.849058433769,925,662.849058433769
1,175.646078281174,0,850.646078281174,175.646078281174
0,0,0,675,0
1,150.66356412553,0,825.66356412553,150.66356412553
0,0,0,675,0
1,250.87115884451,0.87115884450975,925,250.87115884451
0,0,0,675,0
1,366.311663586592,116.311663586592,925,366.311663586592
0,0,0,675,0
0,0,0,675,0
1,542.384707137943,292.384707137943,925,542.384707137943
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
1,314.989525772868,64.9895257728675,925,314.989525772868
0,0,0,675,0
3,1230.05058335237,980.050583352371,925,1230.05058335237
1,408.109055452445,158.109055452445,925,408.109055452445
0,0,0,675,0
1,192.339127878855,0,867.339127878855,192.339127878855
1,654.96093208017,404.96093208017,925,654.96093208017
0,0,0,675,0
1,146.859441866686,0,821.859441866686,146.859441866686
0,0,0,675,0
2,480.747733301571,230.747733301571,925,480.747733301571
2,445.224027245702,195.224027245702,925,445.224027245702
1,1119.71644576861,869.716445768605,925,1119.71644576861
0,0,0,675,0
0,0,0,675,0
1,750.249133617995,500.249133617995,925,750.249133617995
1,131.62249782714,0,806.62249782714,131.62249782714
1,337.571570270083,87.5715702700831,925,337.571570270083
1,239.579966658979,0,914.579966658979,239.579966658979
0,0,0,675,0
1,1825.75766202974,1575.75766202974,925,1825.75766202974
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
4,3930.15205625461,3680.15205625461,925,3930.15205625461
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
1,143.629184171502,0,818.629184171502,143.629184171502
1,1142.84212241443,892.84212241443,925,1142.84212241443
0,0,0,675,0
0,0,0,675,0
1,277.999750318102,27.999750318102,925,277.999750318102
0,0,0,675,0
1,286.766299436108,36.7662994361082,925,286.766299436108
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
1,69.4039797313039,0,744.403979731304,69.4039797313039
0,0,0,675,0
0,0,0,675,0
1,658.842144257443,408.842144257443,925,658.842144257443
1,853.214191549247,603.214191549247,925,853.214191549247
1,583.529055113678,333.529055113678,925,583.529055113678
0,0,0,675,0
1,265.768229167075,15.7682291670753,925,265.768229167075
0,0,0,675,0
0,0,0,675,0
1,152.59940150898,0,827.59940150898,152.59940150898
0,0,0,675,0
2,683.59497350318,433.59497350318,925,683.59497350318
0,0,0,675,0
0,0,0,675,0
2,1041.88035836742,791.88035836742,925,1041.88035836742
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
2,1437.24469609695,1187.24469609695,925,1437.24469609695
0,0,0,675,0
1,460.604403804832,210.604403804832,925,460.604403804832
1,130.733273200266,0,805.733273200266,130.733273200266
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
2,586.779221323023,336.779221323023,925,586.779221323023
3,639.629794090008,389.629794090008,925,639.629794090008
1,319.310185067978,69.3101850679784,925,319.310185067978
0,0,0,675,0
0,0,0,675,0
1,393.260963694536,143.260963694536,925,393.260963694536
1,485.35671250689,235.35671250689,925,485.35671250689
1,417.708866067401,167.708866067401,925,417.708866067401
0,0,0,675,0
0,0,0,675,0
3,875.817177049851,625.817177049851,925,875.817177049851
2,2309.33566029185,2059.33566029185,925,2309.33566029185
1,136.181185498972,0,811.181185498972,136.181185498972
0,0,0,675,0
1,417.017482034398,167.017482034398,925,417.017482034398
0,0,0,675,0
0,0,0,675,0
2,836.830661220334,586.830661220334,925,836.830661220334
0,0,0,675,0
0,0,0,675,0
3,1234.02234048257,984.022340482571,925,1234.02234048257
1,126.593802241985,0,801.593802241985,126.593802241985
1,182.334944305401,0,857.334944305401,182.334944305401
1,273.44870156293,23.4487015629305,925,273.44870156293
0,0,0,675,0
1,204.778908273902,0,879.778908273902,204.778908273902
0,0,0,675,0
1,1025.23284310708,775.232843107078,925,1025.23284310708
0,0,0,675,0
0,0,0,675,0
2,786.855950671321,536.855950671321,925,786.855950671321
0,0,0,675,0
1,534.228165402797,284.228165402797,925,534.228165402797
1,229.933707883246,0,904.933707883246,229.933707883246
3,585.473371225646,335.473371225646,925,585.473371225646
1,233.558931837704,0,908.558931837704,233.558931837704
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
1,176.467504342879,0,851.467504342879,176.467504342879
0,0,0,675,0
2,1542.37974931686,1292.37974931686,925,1542.37974931686
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
1,370.611115540205,120.611115540205,925,370.611115540205
3,924.387519370197,674.387519370197,925,924.387519370197
0,0,0,675,0
1,184.598641723071,0,859.598641723071,184.598641723071
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
1,789.297535213145,539.297535213145,925,789.297535213145
0,0,0,675,0
1,869.755135872179,619.755135872179,925,869.755135872179
1,917.603888344373,667.603888344373,925,917.603888344373
1,385.290592158234,135.290592158234,925,385.290592158234
0,0,0,675,0
2,1166.9798899596,916.979889959601,925,1166.9798899596
0,0,0,675,0
0,0,0,675,0
1,356.225135474761,106.225135474761,925,356.225135474761
0,0,0,675,0
1,127.028511042339,0,802.028511042339,127.028511042339
0,0,0,675,0
1,416.453612933573,166.453612933573,925,416.453612933573
1,634.339398520815,384.339398520815,925,634.339398520815
0,0,0,675,0
1,678.89521785255,428.89521785255,925,678.89521785255
2,337.680125620305,87.6801256203047,925,337.680125620305
1,334.605108414848,84.6051084148478,925,334.605108414848
0,0,0,675,0
0,0,0,675,0
1,377.27918232952,127.27918232952,925,377.27918232952
0,0,0,675,0
1,115.098103059801,0,790.098103059801,115.098103059801
1,238.487448777948,0,913.487448777948,238.487448777948
1,818.998214378384,568.998214378384,925,818.998214378384
1,1164.79975352891,914.799753528908,925,1164.79975352891
0,0,0,675,0
1,342.227560945837,92.227560945837,925,342.227560945837
2,792.418431799542,542.418431799542,925,792.418431799542
1,1050.40637795784,800.406377957843,925,1050.40637795784
0,0,0,675,0
2,281.565088757202,31.5650887572017,925,281.565088757202
4,2556.66406516473,2306.66406516473,925,2556.66406516473
1,376.469105055395,126.469105055395,925,376.469105055395
0,0,0,675,0
2,728.344370523914,478.344370523914,925,728.344370523914
1,151.567718037165,0,826.567718037165,151.567718037165
0,0,0,675,0
0,0,0,675,0
1,576.70182364376,326.70182364376,925,576.70182364376
1,238.9005760117,0,913.9005760117,238.9005760117
0,0,0,675,0
1,637.653511453301,387.653511453301,925,637.653511453301
1,885.095159483729,635.095159483729,925,885.095159483729
1,601.712418947432,351.712418947432,925,601.712418947432
0,0,0,675,0
1,456.125212943214,206.125212943214,925,456.125212943214
0,0,0,675,0
0,0,0,675,0
1,329.314281099798,79.314281099798,925,329.314281099798
1,162.860064612227,0,837.860064612227,162.860064612227
1,258.310637791383,8.31063779138339,925,258.310637791383
0,0,0,675,0
0,0,0,675,0
1,1031.54533351992,781.54533351992,925,1031.54533351992
0,0,0,675,0
1,305.980075889214,55.9800758892144,925,305.980075889214
1,315.24327035385,65.2432703538498,925,315.24327035385
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
1,829.943696251918,579.943696251918,925,829.943696251918
0,0,0,675,0
1,897.052937425642,647.052937425642,925,897.052937425642
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
2,331.520052134735,81.5200521347351,925,331.520052134735
2,1147.80875169121,897.808751691207,925,1147.80875169121
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
1,255.863449857924,5.86344985792385,925,255.863449857924
0,0,0,675,0
0,0,0,675,0
1,282.023733512575,32.0237335125746,925,282.023733512575
0,0,0,675,0
1,380.894409868619,130.894409868619,925,380.894409868619
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
3,497.540809818042,247.540809818042,925,497.540809818042
0,0,0,675,0
0,0,0,675,0
1,1009.94974542793,759.949745427929,925,1009.94974542793
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
1,135.06191323585,0,810.06191323585,135.06191323585
0,0,0,675,0
1,429.057211998824,179.057211998824,925,429.057211998824
2,1859.29930236252,1609.29930236252,925,1859.29930236252
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
1,432.383157749194,182.383157749194,925,432.383157749194
1,283.937637674208,33.9376376742082,925,283.937637674208
0,0,0,675,0
1,100.768441598491,0,775.768441598491,100.768441598491
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
1,247.113663835556,0,922.113663835557,247.113663835556
2,556.671081914479,306.671081914479,925,556.671081914479
1,225.349658840901,0,900.349658840901,225.349658840901
1,306.328085944034,56.3280859440339,925,306.328085944034
1,1385.54144567571,1135.54144567571,925,1385.54144567571
1,502.573062280897,252.573062280897,925,502.573062280897
